      Lon      Lat    Year     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
   -51.25    64.25    1901   0.835   0.891   1.017   1.122   0.929   0.579   0.154   0.000   0.000   0.025   0.122   0.259
   -51.25    64.25    1902   0.360   0.431   0.468   0.486   0.475   0.072   0.000   0.000   0.000   0.037   0.100   0.124
   -51.25    64.25    1903   0.170   0.222   0.260   0.296   0.332   0.289   0.023   0.000   0.000   0.008   0.052   0.121
   -51.25    64.25    1904   0.235   0.295   0.358   0.408   0.420   0.204   0.000   0.000   0.005   0.094   0.303   0.406
   -51.25    64.25    1905   0.447   0.489   0.558   0.593   0.560   0.451   0.152   0.000   0.001   0.040   0.154   0.301
   -51.25    64.25    1906   0.336   0.364   0.424   0.506   0.533   0.307   0.022   0.000   0.000   0.125   0.372   0.533
   -51.25    64.25    1907   0.689   0.812   0.911   0.929   0.739   0.438   0.074   0.000   0.006   0.131   0.289   0.470
   -51.25    64.25    1908   0.567   0.689   1.037   1.148   1.003   0.678   0.139   0.000   0.002   0.134   0.334   0.407
   -51.25    64.25    1909   0.484   0.623   0.730   0.865   0.763   0.174   0.000   0.000   0.000   0.063   0.183   0.330
   -51.25    64.25    1910   0.432   0.481   0.538   0.761   0.712   0.456   0.069   0.000   0.003   0.066   0.162   0.187
   -51.25    64.25    1911   0.228   0.262   0.313   0.361   0.386   0.241   0.015   0.000   0.000   0.017   0.059   0.125
   -51.25    64.25    1912   0.158   0.207   0.248   0.289   0.346   0.085   0.000   0.000   0.001   0.030   0.097   0.146
   -51.25    64.25    1913   0.231   0.301   0.349   0.390   0.417   0.259   0.000   0.000   0.000   0.027   0.116   0.165
   -51.25    64.25    1914   0.218   0.237   0.247   0.279   0.347   0.370   0.111   0.000   0.002   0.014   0.075   0.147
   -51.25    64.25    1915   0.175   0.202   0.209   0.256   0.328   0.108   0.000   0.000   0.000   0.022   0.157   0.358
   -51.25    64.25    1916   0.531   0.608   0.770   0.882   0.682   0.129   0.000   0.000   0.000   0.093   0.400   0.646
   -51.25    64.25    1917   0.909   1.132   1.320   1.477   1.321   0.873   0.246   0.000   0.005   0.127   0.375   0.783
   -51.25    64.25    1918   0.988   1.053   1.128   1.224   1.059   0.796   0.384   0.010   0.001   0.138   0.252   0.384
   -51.25    64.25    1919   0.442   0.468   0.578   0.743   0.761   0.492   0.085   0.000   0.000   0.056   0.198   0.490
   -51.25    64.25    1920   0.567   0.597   0.631   0.653   0.621   0.238   0.000   0.000   0.001   0.061   0.137   0.269
   -51.25    64.25    1921   0.360   0.446   0.563   0.637   0.672   0.529   0.196   0.000   0.000   0.084   0.221   0.288
   -51.25    64.25    1922   0.352   0.390   0.401   0.448   0.492   0.496   0.264   0.000   0.002   0.007   0.134   0.236
   -51.25    64.25    1923   0.305   0.374   0.386   0.445   0.435   0.155   0.000   0.000   0.000   0.030   0.132   0.236
   -51.25    64.25    1924   0.307   0.378   0.476   0.579   0.529   0.138   0.000   0.000   0.002   0.081   0.166   0.317
   -51.25    64.25    1925   0.377   0.396   0.452   0.506   0.523   0.351   0.080   0.000   0.000   0.025   0.242   0.703
   -51.25    64.25    1926   0.847   0.880   0.960   1.014   0.974   0.267   0.000   0.000   0.000   0.034   0.161   0.301
   -51.25    64.25    1927   0.501   0.547   0.584   0.608   0.452   0.043   0.000   0.000   0.000   0.055   0.203   0.281
   -51.25    64.25    1928   0.393   0.418   0.502   0.520   0.259   0.002   0.000   0.000   0.000   0.012   0.033   0.068
   -51.25    64.25    1929   0.121   0.163   0.208   0.257   0.196   0.002   0.000   0.000   0.000   0.067   0.183   0.222
   -51.25    64.25    1930   0.249   0.304   0.404   0.472   0.474   0.220   0.001   0.000   0.000   0.044   0.147   0.209
   -51.25    64.25    1931   0.235   0.269   0.320   0.340   0.289   0.038   0.000   0.000   0.000   0.061   0.263   0.315
   -51.25    64.25    1932   0.335   0.423   0.628   0.800   0.754   0.379   0.014   0.000   0.000   0.142   0.447   0.558
   -51.25    64.25    1933   0.672   0.726   0.772   0.871   0.666   0.219   0.000   0.000   0.001   0.031   0.089   0.124
   -51.25    64.25    1934   0.141   0.155   0.165   0.188   0.197   0.060   0.000   0.000   0.000   0.090   0.374   0.545
   -51.25    64.25    1935   0.604   0.657   0.709   0.731   0.400   0.019   0.000   0.000   0.000   0.072   0.230   0.320
   -51.25    64.25    1936   0.372   0.403   0.532   0.784   0.689   0.292   0.001   0.000   0.000   0.105   0.360   0.464
   -51.25    64.25    1937   0.514   0.523   0.544   0.559   0.457   0.195   0.000   0.000   0.000   0.075   0.185   0.304
   -51.25    64.25    1938   0.397   0.460   0.542   0.665   0.523   0.278   0.020   0.000   0.000   0.036   0.087   0.149
   -51.25    64.25    1939   0.190   0.237   0.251   0.290   0.223   0.004   0.000   0.000   0.000   0.042   0.151   0.168
   -51.25    64.25    1940   0.185   0.209   0.264   0.347   0.347   0.122   0.000   0.000   0.000   0.004   0.175   0.600
   -51.25    64.25    1941   0.952   0.982   1.013   1.062   0.776   0.240   0.000   0.000   0.001   0.006   0.087   0.212
   -51.25    64.25    1942   0.257   0.302   0.335   0.362   0.357   0.063   0.000   0.000   0.000   0.042   0.150   0.210
   -51.25    64.25    1943   0.233   0.266   0.376   0.366   0.297   0.131   0.000   0.000   0.008   0.039   0.090   0.148
   -51.25    64.25    1944   0.171   0.284   0.404   0.442   0.455   0.318   0.008   0.000   0.017   0.205   0.398   0.771
   -51.25    64.25    1945   0.992   1.117   1.196   1.259   1.105   0.546   0.074   0.000   0.001   0.068   0.136   0.169
   -51.25    64.25    1946   0.247   0.325   0.396   0.454   0.443   0.163   0.000   0.000   0.000   0.178   0.257   0.283
   -51.25    64.25    1947   0.299   0.318   0.348   0.380   0.289   0.013   0.000   0.000   0.003   0.206   0.407   0.601
   -51.25    64.25    1948   0.804   0.985   1.312   1.416   1.211   0.814   0.161   0.000   0.000   0.041   0.143   0.326
   -51.25    64.25    1949   0.543   0.779   0.974   1.246   1.340   1.082   0.423   0.005   0.000   0.027   0.098   0.301
   -51.25    64.25    1950   0.482   0.549   0.682   0.812   0.848   0.270   0.000   0.000   0.001   0.065   0.247   0.566
   -51.25    64.25    1951   0.742   0.835   1.022   1.059   0.794   0.261   0.000   0.000   0.000   0.032   0.098   0.184
   -51.25    64.25    1952   0.263   0.330   0.399   0.469   0.319   0.027   0.000   0.000   0.000   0.012   0.142   0.290
   -51.25    64.25    1953   0.378   0.449   0.493   0.521   0.414   0.153   0.000   0.000   0.000   0.043   0.162   0.302
   -51.25    64.25    1954   0.426   0.619   0.723   0.689   0.433   0.089   0.000   0.000   0.000   0.153   0.439   0.634
   -51.25    64.25    1955   0.776   0.957   1.218   1.350   1.072   0.476   0.065   0.000   0.003   0.039   0.130   0.278
   -51.25    64.25    1956   0.411   0.580   0.690   0.783   0.730   0.379   0.021   0.000   0.000   0.247   0.553   0.895
   -51.25    64.25    1957   1.117   1.172   1.275   1.378   1.242   0.575   0.023   0.000   0.003   0.249   0.668   0.953
   -51.25    64.25    1958   1.095   1.192   1.295   1.379   1.125   0.590   0.048   0.000   0.000   0.012   0.061   0.122
   -51.25    64.25    1959   0.135   0.166   0.198   0.208   0.151   0.004   0.000   0.000   0.001   0.031   0.160   0.237
   -51.25    64.25    1960   0.262   0.411   0.485   0.527   0.508   0.254   0.002   0.000   0.000   0.001   0.028   0.122
